"site","treatment","timepoint","exclusion_treatment","plant_id","number_heads","total_viable_seeds"
"EastKnoll","Control","1","PollenAddition","8","1","9"
"EastKnoll","Control","1","PollenAddition","5","1","3"
"EastKnoll","Control","2","PollenAddition","10","1","3"
"EastKnoll","Control","2","PollenAddition","7","1","5"
"EastKnoll","Control","2","PollenAddition","9","1","6"
"EastKnoll","Control","2","PollenAddition","9","1","1"
"EastKnoll","Control","2","PollenAddition","6","1","5"
"EastKnoll","Control","2","PollenAddition","8","1","3"
"EastKnoll","Control","2","PollenAddition","1","1","7"
"EastKnoll","Control","2","PollenAddition","3","1","7"
"EastKnoll","Control","2","PollenAddition","4","1","12"
"EastKnoll","Control","3","PollenAddition","1","1","0"
"EastKnoll","Control","3","PollenAddition","6","1","0"
"EastKnoll","Control","3","PollenAddition","3","1","0"
"EastKnoll","Control","3","PollenAddition","4","1","4"
