"local_site","snow_treatment","location","distance_from_top","date","snow_depth","comments"
"Audubon","Early","Bottommiddle",29.5,2018-05-16,"100",""
"Audubon","Early","Middle",20,2018-05-16,"120",""
"Audubon","Early","Top",1,2018-05-16,"40",""
"Audubon","Early","Topmiddle",10.5,2018-05-16,"120",""
"East_Knoll","Control","Bottom",39,2018-05-16,"140",""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-16,"65",""
"East_Knoll","Control","Middle",20,2018-05-16,"30",""
"East_Knoll","Control","Top",1,2018-05-16,"0",""
"East_Knoll","Control","Topmiddle",10.5,2018-05-16,"0",""
"East_Knoll","Early","Bottom",39,2018-05-16,"15",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-16,"20",""
"East_Knoll","Early","Middle",20,2018-05-16,"0",""
"East_Knoll","Early","Top",1,2018-05-16,"0",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-16,"0",""
"Lefty","Control","Bottom",39,2018-05-16,NaN,""
"Lefty","Control","Bottommiddle",29.5,2018-05-16,NaN,""
"Lefty","Control","Middle",20,2018-05-16,NaN,""
"Lefty","Control","Top",1,2018-05-16,NaN,""
"Lefty","Control","Topmiddle",10.5,2018-05-16,NaN,""
"Lefty","Early","Bottom",39,2018-05-16,"260",""
"Lefty","Early","Bottommiddle",29.5,2018-05-16,"260",""
"Lefty","Early","Middle",20,2018-05-16,"58",""
"Lefty","Early","Top",1,2018-05-16,"0",""
"Lefty","Early","Topmiddle",10.5,2018-05-16,"55",""
"Soddie","Control","Bottom",39,2018-05-16,"0",""
"Soddie","Control","Bottommiddle",29.5,2018-05-16,"0",""
"Soddie","Control","Middle",20,2018-05-16,"0",""
"Soddie","Control","Top",1,2018-05-16,"40",""
"Soddie","Control","Topmiddle",10.5,2018-05-16,"0",""
"Soddie","Early","Bottom",39,2018-05-16,"0",""
"Soddie","Early","Bottommiddle",29.5,2018-05-16,"0",""
"Soddie","Early","Middle",20,2018-05-16,"0",""
"Soddie","Early","Top",1,2018-05-16,"0",""
"Soddie","Early","Topmiddle",10.5,2018-05-16,"25",""
"Trough","Control","Bottom",39,2018-05-16,"200",""
"Trough","Control","Bottommiddle",29.5,2018-05-16,"218",""
"Trough","Control","Middle",20,2018-05-16,"273",""
"Trough","Control","Top",1,2018-05-16,"218",""
"Trough","Control","Topmiddle",10.5,2018-05-16,"218",""
"Trough","Early","Bottom",39,2018-05-16,"165",""
"Trough","Early","Bottommiddle",29.5,2018-05-16,"175",""
